name,value,year,lastValue,rank
Kings XI Punjab,37,2016.6,36.0,6
Kolkata Knight Riders,90.2,2016.6,88,2
Mumbai Indians,94.8,2016.6,92,1
Royal Challengers Bangalore,80.4,2016.6,78.5,3
Sunrisers Hyderabad,50.4,2016.6,49,4
Rjasthan Royals,NA,2016.5,NA,7
Chennai Super Kings,NA,2016.5,NA,7
Delhi Daredevils,39.0,2016.5,38.0,5
Kings XI Punjab,36,2016.5,35.0,6
Kolkata Knight Riders,88,2016.5,85.8,2
Mumbai Indians,92,2016.5,89.2,1
Royal Challengers Bangalore,78.5,2016.5,76.6,3
Sunrisers Hyderabad,49,2016.5,47.6,4
Rjasthan Royals,NA,2016.4,NA,7
Chennai Super Kings,NA,2016.4,NA,7
Delhi Daredevils,38.0,2016.4,37.0,5
Kings XI Punjab,35,2016.4,34.0,6
Kolkata Knight Riders,85.8,2016.4,83.6,2
Mumbai Indians,89.2,2016.4,86.4,1
Royal Challengers Bangalore,76.6,2016.4,74.7,3
Sunrisers Hyderabad,47.6,2016.4,46.2,4
Rjasthan Royals,NA,2016.3,NA,7
Chennai Super Kings,NA,2016.3,NA,7
Delhi Daredevils,37.0,2016.3,36.0,5
Kings XI Punjab,34,2016.3,33.0,6
Kolkata Knight Riders,83.6,2016.3,81.4,2
Mumbai Indians,86.4,2016.3,83.6,1
Royal Challengers Bangalore,74.7,2016.3,72.8,3
Sunrisers Hyderabad,46.2,2016.3,44.8,4
Rjasthan Royals,NA,2016.2,NA,7
Chennai Super Kings,NA,2016.2,NA,7
Delhi Daredevils,36.0,2016.2,35.0,5
Kings XI Punjab,33,2016.2,32.0,6
Kolkata Knight Riders,81.4,2016.2,79.2,2
Mumbai Indians,83.6,2016.2,80.8,1
Royal Challengers Bangalore,72.8,2016.2,70.9,3
Sunrisers Hyderabad,44.8,2016.2,43.4,4
Rjasthan Royals,NA,2016.1,NA,7
Chennai Super Kings,NA,2016.1,NA,7
Delhi Daredevils,35.0,2016.1,34.0,5
Kings XI Punjab,32,2016.1,31.0,6
Kolkata Knight Riders,79.2,2016.1,77,2
Mumbai Indians,80.8,2016.1,78,1
Royal Challengers Bangalore,70.9,2016.1,67,3
Sunrisers Hyderabad,43.4,2016.1,41,4
Rjasthan Royals,NA,2016,NA,7
Chennai Super Kings,NA,2016,NA,7
Delhi Daredevils,34,2016,34.0,5
Kings XI Punjab,31,2016,32.0,6
Kolkata Knight Riders,77,2016,77.9,2
Mumbai Indians,78,2016,77.4,1
Royal Challengers Bangalore,67,2016,65.4,3
Sunrisers Hyderabad,41,2016,40.4,4
Rjasthan Royals,NA,2015.9,NA,7
Chennai Super Kings,NA,2015.9,NA,7
Delhi Daredevils,34,2015.9,34.0,5
Kings XI Punjab,32,2015.9,33.0,6
Kolkata Knight Riders,77.9,2015.9,78.8,1
Mumbai Indians,77.4,2015.9,76.8,2
Royal Challengers Bangalore,65.4,2015.9,63.8,3
Sunrisers Hyderabad,40.4,2015.9,39.8,4
Rjasthan Royals,NA,2015.8,NA,7
Chennai Super Kings,NA,2015.8,NA,7
Delhi Daredevils,34,2015.8,34.0,5
Kings XI Punjab,33,2015.8,34.0,6
Kolkata Knight Riders,78.8,2015.8,79.7,1
Mumbai Indians,76.8,2015.8,76.2,2
Royal Challengers Bangalore,63.8,2015.8,62.2,3
Sunrisers Hyderabad,39.8,2015.8,39.2,4
Rjasthan Royals,NA,2015.7,NA,7
Chennai Super Kings,NA,2015.7,NA,7
Delhi Daredevils,34,2015.7,34.0,5
Kings XI Punjab,34,2015.7,35.0,5
Kolkata Knight Riders,79.7,2015.7,80.6,1
Mumbai Indians,76.2,2015.7,75.6,2
Royal Challengers Bangalore,62.2,2015.7,60.6,3
Sunrisers Hyderabad,39.2,2015.7,38.6,4
Rjasthan Royals,NA,2015.6,NA,7
Chennai Super Kings,NA,2015.6,NA,7
Delhi Daredevils,34,2015.6,34.0,6
